date,open,high,low,close,volume,stock_name,ticker
01/16/2025,1.13,1.12,1.07,1.07,851.79K,Abctrans,ABCTRANS
01/15/2025,1.16,1.15,1.11,1.13,730.68K,Abctrans,ABCTRANS
01/14/2025,1.11,1.16,1.16,1.16,742.29K,Abctrans,ABCTRANS
01/13/2025,1.23,1.23,1.11,1.11,1.65M,Abctrans,ABCTRANS
01/10/2025,1.23,1.23,1.23,1.23,428.83K,Abctrans,ABCTRANS
01/09/2025,1.23,1.23,1.23,1.23,197.46K,Abctrans,ABCTRANS
01/08/2025,1.22,1.22,1.22,1.22,357.01K,Abctrans,ABCTRANS
01/07/2025,1.22,1.22,1.22,1.22,352.86K,Abctrans,ABCTRANS
01/06/2025,1.18,1.22,1.22,1.22,286.63K,Abctrans,ABCTRANS
01/03/2025,1.23,1.25,1.18,1.18,1.96M,Abctrans,ABCTRANS
01/02/2025,1.23,1.23,1.23,1.23,271.38K,Abctrans,ABCTRANS
12/31/2024,1.23,1.23,1.23,1.23,29.14K,Abctrans,ABCTRANS
12/30/2024,1.23,1.23,1.23,1.23,246.49K,Abctrans,ABCTRANS
12/27/2024,1.23,1.23,1.23,1.23,152.25K,Abctrans,ABCTRANS
12/24/2024,1.23,1.23,1.23,1.23,251.93K,Abctrans,ABCTRANS
12/23/2024,1.24,1.23,1.23,1.23,532.49K,Abctrans,ABCTRANS
12/20/2024,1.15,1.24,1.24,1.24,353.28K,Abctrans,ABCTRANS
12/19/2024,1.05,1.15,1.14,1.15,635.25K,Abctrans,ABCTRANS
12/18/2024,1.05,1.05,1.05,1.05,116.10K,Abctrans,ABCTRANS
12/17/2024,1.05,1.05,1.05,1.05,55.91K,Abctrans,ABCTRANS
12/16/2024,1.15,1.14,1.05,1.05,1.22M,Abctrans,ABCTRANS
12/13/2024,1.25,1.15,1.15,1.15,900.08K,Abctrans,ABCTRANS
12/12/2024,1.35,1.25,1.25,1.25,256.16K,Abctrans,ABCTRANS
12/11/2024,1.25,1.35,1.14,1.35,987.94K,Abctrans,ABCTRANS
12/10/2024,1.14,1.25,1.18,1.25,883.59K,Abctrans,ABCTRANS
12/09/2024,1.14,1.14,1.14,1.14,59.20K,Abctrans,ABCTRANS
12/06/2024,1.14,1.14,1.14,1.14,71.50K,Abctrans,ABCTRANS
12/05/2024,1.14,1.14,1.14,1.14,213.01K,Abctrans,ABCTRANS
